DateFacturation_FK;Site_FK;Produit_FK;Client_FK;PrixCatalogue;Remise;CA;Marge;CoutDirectMatiere;CoutDirectMainOeuvre;CoutIndirect;Quantite;NumFacture
20210204;18;0;44;105.00;5.00;100.00;28.00;51.00;20.00;1.00;1.00;F20
20210208;18;0;42;1416.00;15.00;1401.00;425.00;616.00;335.00;25.00;3.00;F21
20210207;18;0;38;104.00;5.00;99.00;29.00;40.00;28.00;2.00;1.00;F3
20210210;18;0;39;184.00;10.00;82.00;9.00;47.00;25.00;1.00;2.00;F26
20210211;18;0;42;184.00;2.00;182.00;76.00;69.00;35.00;2.00;2.00;F22
20210212;18;0;36;437.00;14.00;423.00;211.00;152.00;56.00;4.00;1.00;F23
20210216;18;0;41;200.00;10.00;190.00;101.00;63.00;23.00;3.00;2.00;F24
20210212;18;0;37;86.00;0.00;86.00;38.00;33.00;14.00;1.00;1.00;F25
20210213;18;0;37;55.00;3.00;52.00;18.00;18.00;15.00;1.00;1.00;F26
20210217;18;0;42;190.00;10.00;180.00;57.00;88.00;32.00;3.00;2.00;F27
20210218;18;0;36;85.00;0.00;85.00;37.00;36.00;11.00;1.00;1.00;F28
20210219;18;0;36;1222.00;0.00;1222.00;482.00;367.00;351.00;22.00;2.00;F29
20210218;18;0;44;330.00;0.00;330.00;39.00;178.00;107.00;6.00;3.00;F30
20210218;18;0;41;204.00;7.00;198.00;17.00;119.00;59.00;3.00;3.00;F31
20210222;18;0;44;654.00;20.00;634.00;270.00;190.00;167.00;7.00;1.00;F4
20210224;18;0;40;592.00;0.00;592.00;299.00;207.00;78.00;8.00;1.00;F38
20210222;18;0;37;2172.00;0.00;2172.00;147.00;1238.00;753.00;34.00;3.00;F32
20210223;18;0;43;2175.00;44.00;2130.00;429.00;1086.00;586.00;29.00;3.00;F33
20210225;18;0;38;186.00;4.00;182.00;17.00;98.00;65.00;2.00;2.00;F34
20210223;18;0;38;108.00;3.00;106.00;50.00;32.00;23.00;1.00;2.00;F35
20210226;18;0;45;258.00;3.00;255.00;47.00;128.00;76.00;4.00;3.00;F36
20210301;18;0;43;1986.00;20.00;1965.00;446.00;943.00;541.00;35.00;3.00;F37
20210226;18;0;43;1082.00;33.00;1050.00;469.00;420.00;151.00;10.00;2.00;F38
20210228;18;0;42;1878.00;19.00;1860.00;767.00;837.00;223.00;33.00;3.00;F39
20210302;18;0;43;654.00;0.00;654.00;165.00;366.00;117.00;6.00;1.00;F40
20210305;18;0;40;357.00;8.00;348.00;117.00;150.00;75.00;6.00;3.00;F41
20210307;18;0;38;81.00;5.00;76.00;24.00;36.00;15.00;1.00;1.00;F5
20210308;18;0;36;1218.00;49.00;357.00;71.00;179.00;102.00;5.00;3.00;F50
20210305;18;0;37;1396.00;14.00;1382.00;516.00;594.00;248.00;24.00;2.00;F42
20210308;18;0;38;1082.00;33.00;1050.00;536.00;347.00;151.00;16.00;2.00;F43
20210307;18;0;41;856.00;43.00;814.00;186.00;415.00;205.00;8.00;2.00;F44
20210312;18;0;43;237.00;5.00;231.00;82.00;97.00;47.00;5.00;3.00;F45
20210311;18;0;41;112.00;6.00;106.00;25.00;56.00;24.00;1.00;2.00;F46
20210310;18;0;36;1653.00;0.00;1653.00;600.00;579.00;455.00;19.00;3.00;F47
20210313;18;0;45;166.00;9.00;158.00;53.00;71.00;32.00;2.00;2.00;F48
20210316;18;0;40;202.00;7.00;196.00;42.00;100.00;51.00;3.00;2.00;F49
20210316;18;0;37;95.00;3.00;92.00;43.00;33.00;14.00;2.00;1.00;F50
20210316;18;0;38;1920.00;96.00;1824.00;604.00;894.00;305.00;21.00;3.00;F51
20210318;18;0;41;58.00;0.00;58.00;19.00;26.00;12.00;1.00;1.00;F6
20210318;18;0;41;357.00;18.00;102.00;30.00;51.00;20.00;1.00;3.00;F62
20210318;18;0;45;51.00;3.00;48.00;15.00;25.00;7.00;1.00;1.00;F52
20210320;18;0;45;524.00;11.00;513.00;160.00;267.00;80.00;6.00;1.00;F53
20210321;18;0;42;279.00;0.00;279.00;93.00;142.00;40.00;4.00;3.00;F54
20210321;18;0;44;603.00;25.00;578.00;209.00;243.00;117.00;9.00;1.00;F55
20210320;18;0;40;112.00;6.00;106.00;27.00;40.00;37.00;2.00;2.00;F56
20210323;18;0;45;1467.00;74.00;1392.00;691.00;515.00;167.00;19.00;3.00;F57
20210325;18;0;36;1380.00;28.00;1352.00;383.00;649.00;307.00;13.00;2.00;F58
20210327;18;0;42;186.00;8.00;178.00;58.00;55.00;62.00;3.00;2.00;F59
20210329;18;0;44;327.00;0.00;327.00;131.00;137.00;55.00;4.00;3.00;F60
20210326;18;0;45;82.00;2.00;80.00;29.00;27.00;22.00;2.00;1.00;F61
20210328;18;0;44;1404.00;57.00;1348.00;367.00;512.00;451.00;18.00;2.00;F7
20210331;18;0;41;1704.00;52.00;516.00;44.00;294.00;173.00;5.00;3.00;F74
20210328;18;0;38;1464.00;44.00;1419.00;466.00;752.00;187.00;14.00;3.00;F62
20210403;18;0;40;152.00;2.00;150.00;50.00;59.00;38.00;3.00;2.00;F63
20210331;18;0;38;206.00;7.00;200.00;77.00;82.00;38.00;3.00;2.00;F64
20210402;18;0;39;117.00;2.00;115.00;29.00;55.00;30.00;1.00;1.00;F65
20210401;18;0;44;204.00;9.00;196.00;63.00;100.00;30.00;3.00;2.00;F66
20210405;18;0;37;113.00;4.00;109.00;31.00;63.00;14.00;1.00;1.00;F67
20210405;18;0;37;1218.00;13.00;1206.00;536.00;494.00;159.00;17.00;2.00;F68
20210405;18;0;37;56.00;2.00;54.00;27.00;16.00;10.00;1.00;1.00;F69
20210409;18;0;42;105.00;0.00;105.00;37.00;54.00;13.00;1.00;1.00;F70
20210408;18;0;41;333.00;7.00;327.00;119.00;131.00;74.00;3.00;3.00;F71
20210412;18;0;44;569.00;29.00;540.00;250.00;194.00;90.00;6.00;1.00;F8
20210408;18;0;43;478.00;20.00;458.00;199.00;165.00;88.00;6.00;1.00;F86
20210409;18;0;41;501.00;11.00;490.00;120.00;225.00;135.00;10.00;1.00;F72
20210414;18;0;38;1932.00;58.00;1875.00;459.00;1031.00;359.00;26.00;3.00;F73
20210416;18;0;37;220.00;7.00;214.00;110.00;68.00;33.00;3.00;2.00;F74
20210417;18;0;41;309.00;7.00;303.00;151.00;106.00;40.00;6.00;3.00;F75
20210413;18;0;37;1418.00;15.00;1404.00;554.00;562.00;269.00;19.00;2.00;F76
20210415;18;0;45;1680.00;0.00;1680.00;721.00;504.00;422.00;33.00;3.00;F77
20210420;18;0;40;513.00;26.00;487.00;135.00;219.00;128.00;5.00;1.00;F78
20210419;18;0;37;1944.00;20.00;1923.00;72.00;1135.00;690.00;26.00;3.00;F79
20210422;18;0;38;684.00;35.00;649.00;305.00;195.00;140.00;9.00;1.00;F80
20210418;18;0;45;218.00;5.00;214.00;88.00;73.00;49.00;4.00;2.00;F81
20210423;18;0;43;1440.00;15.00;1426.00;187.00;699.00;512.00;28.00;2.00;F9
20210425;18;0;38;1845.00;19.00;597.00;127.00;358.00;100.00;12.00;3.00;F98
20210421;18;0;36;120.00;5.00;115.00;44.00;44.00;26.00;1.00;1.00;F82
20210424;18;0;37;208.00;7.00;202.00;18.00;109.00;73.00;2.00;2.00;F83
20210425;18;0;39;1200.00;0.00;1200.00;321.00;576.00;287.00;16.00;3.00;F84
20210429;18;0;38;51.00;3.00;48.00;25.00;16.00;6.00;1.00;1.00;F85
20210427;18;0;43;206.00;5.00;202.00;82.00;81.00;36.00;3.00;2.00;F86
20210502;18;0;39;494.00;5.00;489.00;157.00;171.00;152.00;9.00;1.00;F87
20210502;18;0;40;93.00;4.00;89.00;34.00;30.00;24.00;1.00;1.00;F88
20210501;18;0;45;59.00;2.00;57.00;13.00;32.00;11.00;1.00;1.00;F89
20210502;18;0;41;1860.00;0.00;1860.00;653.00;744.00;445.00;18.00;3.00;F90
20210430;18;0;45;694.00;7.00;687.00;232.00;213.00;230.00;12.00;1.00;F91
20210504;18;0;37;58.00;2.00;56.00;15.00;20.00;20.00;1.00;1.00;F10
20210501;18;0;36;240.00;8.00;72.00;27.00;28.00;16.00;1.00;3.00;F110
20210507;18;0;40;508.00;0.00;508.00;185.00;254.00;61.00;8.00;1.00;F92
20210508;18;0;40;2268.00;0.00;2268.00;810.00;816.00;597.00;45.00;3.00;F93
20210508;18;0;36;112.00;3.00;109.00;54.00;33.00;20.00;2.00;1.00;F94
20210505;18;0;36;1647.00;50.00;1596.00;605.00;559.00;401.00;31.00;3.00;F95
20210507;18;0;36;1364.00;69.00;1296.00;473.00;531.00;279.00;13.00;2.00;F96
20210511;18;0;37;450.00;5.00;445.00;231.00;151.00;59.00;4.00;1.00;F97
20210511;18;0;37;342.00;7.00;336.00;139.00;104.00;88.00;5.00;3.00;F98
20210515;18;0;38;1188.00;36.00;1152.00;213.00;553.00;372.00;14.00;2.00;F99
20210515;18;0;40;216.00;7.00;210.00;67.00;69.00;70.00;4.00;2.00;F100
20210516;18;0;45;92.00;1.00;91.00;36.00;42.00;12.00;1.00;1.00;F101
20210516;18;0;42;671.00;0.00;671.00;163.00;369.00;128.00;11.00;1.00;F11
20210517;18;0;41;1522.00;77.00;684.00;256.00;253.00;164.00;11.00;2.00;F122
20210519;18;0;43;94.00;4.00;90.00;26.00;36.00;26.00;2.00;1.00;F102
20210518;18;0;43;1366.00;55.00;1312.00;102.00;748.00;439.00;23.00;2.00;F103
20210522;18;0;43;1680.00;0.00;1680.00;781.00;521.00;362.00;16.00;3.00;F104
20210520;18;0;41;153.00;0.00;153.00;70.00;57.00;24.00;2.00;3.00;F105
20210520;18;0;42;1026.00;21.00;1006.00;193.00;594.00;205.00;14.00;2.00;F106
20210520;18;0;45;92.00;4.00;88.00;28.00;37.00;22.00;1.00;1.00;F107
20210524;18;0;36;327.00;14.00;312.00;133.00;97.00;78.00;4.00;3.00;F108
20210523;18;0;40;1902.00;58.00;1845.00;751.00;683.00;375.00;36.00;3.00;F109
20210525;18;0;39;222.00;9.00;214.00;105.00;73.00;33.00;3.00;2.00;F110
20210524;18;0;38;183.00;6.00;177.00;42.00;97.00;36.00;2.00;3.00;F111
20210530;18;0;44;124.00;7.00;118.00;49.00;46.00;21.00;2.00;2.00;F12
20210528;18;0;39;96.00;3.00;93.00;16.00;43.00;33.00;1.00;1.00;F134
20210527;18;0;42;318.00;13.00;306.00;107.00;132.00;62.00;5.00;3.00;F112
20210531;18;0;45;61.00;2.00;59.00;15.00;22.00;21.00;1.00;1.00;F113
20210530;18;0;42;1504.00;31.00;1474.00;706.00;472.00;282.00;14.00;2.00;F114
20210602;18;0;41;730.00;15.00;715.00;265.00;350.00;86.00;14.00;1.00;F115
20210531;18;0;38;156.00;0.00;156.00;29.00;86.00;39.00;2.00;3.00;F116
20210606;18;0;43;481.00;15.00;466.00;74.00;270.00;117.00;5.00;1.00;F117
20210603;18;0;44;82.00;1.00;81.00;22.00;34.00;24.00;1.00;1.00;F118
20210604;18;0;43;1569.00;63.00;1506.00;309.00;738.00;432.00;27.00;3.00;F119
20210605;18;0;36;1857.00;75.00;1782.00;743.00;624.00;384.00;31.00;3.00;F120
20210608;18;0;40;154.00;5.00;150.00;40.00;89.00;20.00;1.00;2.00;F121
20210609;18;0;44;1539.00;77.00;1461.00;337.00;877.00;227.00;20.00;3.00;F13
20210607;18;0;42;196.00;10.00;88.00;29.00;38.00;20.00;1.00;2.00;F146
20210609;18;0;41;106.00;5.00;101.00;22.00;43.00;35.00;1.00;1.00;F122
20210608;18;0;39;1380.00;0.00;1380.00;399.00;800.00;165.00;16.00;2.00;F123
20210615;18;0;44;733.00;30.00;703.00;258.00;274.00;160.00;11.00;1.00;F124
20210616;18;0;43;309.00;4.00;306.00;121.00;92.00;88.00;5.00;3.00;F125
20210616;18;0;44;324.00;17.00;306.00;122.00;135.00;44.00;5.00;3.00;F126
20210617;18;0;36;605.00;31.00;574.00;87.00;327.00;151.00;9.00;1.00;F127
20210617;18;0;38;532.00;0.00;532.00;154.00;293.00;76.00;9.00;1.00;F128
20210617;18;0;37;2400.00;72.00;2328.00;1073.00;931.00;278.00;46.00;3.00;F129
20210620;18;0;44;605.00;19.00;586.00;212.00;176.00;189.00;9.00;1.00;F130
20210620;18;0;41;1254.00;0.00;1254.00;359.00;715.00;165.00;15.00;3.00;F131
20210620;18;0;36;252.00;3.00;249.00;65.00;139.00;42.00;3.00;3.00;F14
20210622;18;0;38;306.00;16.00;87.00;33.00;28.00;24.00;2.00;3.00;F158
20210621;18;0;41;1314.00;66.00;1248.00;680.00;399.00;149.00;20.00;3.00;F132
20210625;18;0;40;1126.00;57.00;1070.00;379.00;332.00;346.00;13.00;2.00;F133
20210626;18;0;36;1899.00;19.00;1881.00;303.00;1053.00;495.00;30.00;3.00;F134
20210627;18;0;37;291.00;3.00;288.00;160.00;89.00;34.00;5.00;3.00;F135
20210627;18;0;43;276.00;6.00;270.00;43.00;157.00;65.00;5.00;3.00;F136
20210630;18;0;43;188.00;2.00;186.00;63.00;71.00;49.00;3.00;2.00;F137
20210626;18;0;43;1328.00;0.00;1328.00;113.00;770.00;429.00;16.00;2.00;F138
20210627;18;0;40;101.00;6.00;95.00;30.00;32.00;31.00;2.00;1.00;F139
20210628;18;0;41;110.00;5.00;106.00;34.00;46.00;25.00;1.00;2.00;F140
20210702;18;0;42;1482.00;15.00;1468.00;301.00;807.00;334.00;26.00;2.00;F141
20210706;18;0;39;1158.00;0.00;1158.00;254.00;486.00;402.00;16.00;2.00;F15
20210706;18;0;40;630.00;7.00;623.00;320.00;218.00;75.00;10.00;1.00;F170
20210708;18;0;38;119.00;0.00;119.00;15.00;60.00;43.00;1.00;1.00;F142
20210705;18;0;44;342.00;4.00;339.00;71.00;180.00;81.00;7.00;3.00;F143
20210708;18;0;40;2346.00;0.00;2346.00;130.00;1337.00;842.00;37.00;3.00;F144
20210707;18;0;36;348.00;4.00;345.00;117.00;173.00;50.00;5.00;3.00;F145
20210710;18;0;37;324.00;17.00;306.00;112.00;153.00;37.00;4.00;3.00;F146
20210711;18;0;42;130.00;2.00;128.00;27.00;73.00;26.00;2.00;2.00;F147
20210711;18;0;41;777.00;39.00;738.00;242.00;295.00;194.00;7.00;1.00;F148
20210712;18;0;41;318.00;4.00;315.00;60.00;151.00;98.00;6.00;3.00;F149
20210713;18;0;37;213.00;3.00;210.00;64.00;95.00;48.00;3.00;3.00;F150
20210714;18;0;43;238.00;5.00;234.00;69.00;112.00;50.00;3.00;2.00;F151
20210714;18;0;38;2178.00;44.00;2133.00;370.00;1130.00;612.00;21.00;3.00;F16
20210716;18;0;44;1460.00;30.00;700.00;62.00;392.00;234.00;12.00;2.00;F182
20210715;18;0;40;119.00;5.00;114.00;21.00;50.00;41.00;2.00;1.00;F152
20210716;18;0;45;99.00;0.00;99.00;45.00;38.00;15.00;1.00;1.00;F153
20210715;18;0;39;54.00;2.00;52.00;16.00;25.00;10.00;1.00;1.00;F154
20210717;18;0;43;442.00;9.00;433.00;179.00;134.00;114.00;6.00;1.00;F155
20210722;18;0;43;2214.00;67.00;2148.00;458.00;924.00;745.00;21.00;3.00;F156
20210723;18;0;39;171.00;2.00;168.00;11.00;94.00;60.00;3.00;3.00;F157
20210725;18;0;37;220.00;5.00;216.00;62.00;114.00;36.00;4.00;2.00;F158
20210723;18;0;39;279.00;9.00;270.00;97.00;130.00;39.00;4.00;3.00;F159
20210728;18;0;40;177.00;0.00;177.00;51.00;90.00;34.00;2.00;3.00;F160
20210726;18;0;40;230.00;0.00;230.00;82.00;104.00;39.00;5.00;2.00;F161
20210726;18;0;41;200.00;2.00;198.00;70.00;69.00;55.00;4.00;2.00;F17
20210726;18;0;40;168.00;7.00;48.00;23.00;16.00;8.00;1.00;3.00;F194
20210728;18;0;41;222.00;12.00;210.00;57.00;80.00;70.00;3.00;2.00;F162
20210731;18;0;38;2088.00;84.00;2004.00;356.00;922.00;695.00;31.00;3.00;F163
20210801;18;0;36;214.00;5.00;210.00;22.00;122.00;63.00;3.00;2.00;F164
20210730;18;0;42;1815.00;0.00;1815.00;981.00;581.00;217.00;36.00;3.00;F165
20210805;18;0;39;184.00;4.00;180.00;73.00;63.00;41.00;3.00;2.00;F166
20210804;18;0;39;50.00;0.00;50.00;3.00;28.00;18.00;1.00;1.00;F167
20210802;18;0;42;146.00;8.00;138.00;17.00;68.00;50.00;3.00;2.00;F168
20210805;18;0;41;1809.00;0.00;1809.00;581.00;651.00;541.00;36.00;3.00;F169
20210808;18;0;40;498.00;0.00;498.00;113.00;209.00;167.00;9.00;1.00;F170
20210807;18;0;41;1318.00;27.00;1292.00;405.00;646.00;216.00;25.00;2.00;F171
20210805;18;0;40;77.00;2.00;75.00;18.00;45.00;10.00;2.00;1.00;F18
20210806;18;0;44;208.00;5.00;100.00;49.00;32.00;18.00;1.00;2.00;F206
20210809;18;0;37;645.00;13.00;632.00;218.00;278.00;129.00;7.00;1.00;F172
20210810;18;0;42;675.00;14.00;661.00;326.00;238.00;87.00;10.00;1.00;F173
20210809;18;0;43;102.00;2.00;100.00;18.00;46.00;35.00;1.00;1.00;F174
20210810;18;0;42;110.00;0.00;110.00;26.00;62.00;20.00;2.00;1.00;F175
20210816;18;0;37;56.00;2.00;54.00;5.00;30.00;18.00;1.00;1.00;F176
20210816;18;0;44;459.00;5.00;454.00;89.00;200.00;157.00;8.00;1.00;F177
20210815;18;0;39;636.00;32.00;604.00;312.00;199.00;87.00;6.00;1.00;F178
20210817;18;0;43;348.00;14.00;333.00;55.00;196.00;76.00;6.00;3.00;F179
20210815;18;0;36;1518.00;76.00;1443.00;251.00;750.00;414.00;28.00;3.00;F180
20210816;18;0;39;194.00;10.00;184.00;60.00;68.00;53.00;3.00;2.00;F181
20210822;18;0;43;120.00;6.00;114.00;37.00;60.00;15.00;2.00;1.00;F19
20210818;18;0;38;1926.00;78.00;564.00;200.00;180.00;176.00;8.00;3.00;F218
20210821;18;0;44;166.00;9.00;158.00;43.00;88.00;25.00;2.00;2.00;F182
20210820;18;0;41;159.00;2.00;156.00;37.00;89.00;28.00;2.00;3.00;F183
20210823;18;0;42;237.00;8.00;228.00;79.00;107.00;38.00;4.00;3.00;F184
20210827;18;0;39;2223.00;112.00;2112.00;306.00;1204.00;581.00;21.00;3.00;F185
20210827;18;0;37;82.00;1.00;81.00;34.00;28.00;18.00;1.00;1.00;F186
20210827;18;0;44;418.00;17.00;401.00;74.00;176.00;144.00;7.00;1.00;F187
20210831;18;0;45;270.00;0.00;270.00;99.00;100.00;68.00;3.00;3.00;F188
20210831;18;0;41;206.00;3.00;204.00;39.00;120.00;41.00;4.00;2.00;F189
20210829;18;0;38;166.00;4.00;162.00;36.00;79.00;45.00;2.00;2.00;F2
20210830;18;0;38;81.00;0.00;81.00;22.00;42.00;16.00;1.00;1.00;F228
20210903;18;0;38;1746.00;70.00;1677.00;427.00;889.00;341.00;20.00;3.00;F2
20210904;18;0;37;54.00;2.00;52.00;10.00;23.00;18.00;1.00;1.00;F3
20210902;18;0;45;1935.00;20.00;1914.00;359.00;842.00;687.00;26.00;3.00;F4
20210906;18;0;36;206.00;0.00;206.00;108.00;64.00;30.00;4.00;2.00;F5
20210907;18;0;43;132.00;0.00;132.00;36.00;54.00;40.00;2.00;2.00;F6
20210907;18;0;45;154.00;5.00;150.00;63.00;47.00;38.00;2.00;2.00;F7
20210904;18;0;40;786.00;24.00;762.00;367.00;251.00;137.00;7.00;1.00;F8
20210905;18;0;40;75.00;3.00;72.00;29.00;26.00;16.00;1.00;1.00;F9
20210912;18;0;37;1390.00;70.00;1320.00;318.00;752.00;237.00;13.00;2.00;F10
20210911;18;0;40;685.00;28.00;657.00;241.00;217.00;189.00;10.00;1.00;F11
20210909;18;0;38;1432.00;15.00;1418.00;512.00;567.00;322.00;17.00;2.00;F2
20210915;18;0;38;2397.00;96.00;702.00;363.00;239.00;92.00;8.00;3.00;F240
20210912;18;0;42;148.00;6.00;142.00;45.00;77.00;17.00;3.00;2.00;F12
20210913;18;0;36;156.00;0.00;156.00;14.00;94.00;45.00;3.00;3.00;F13
20210916;18;0;42;146.00;2.00;144.00;47.00;72.00;22.00;3.00;2.00;F14
20210918;18;0;45;960.00;48.00;912.00;365.00;365.00;164.00;18.00;2.00;F15
20210915;18;0;43;683.00;0.00;683.00;207.00;382.00;82.00;12.00;1.00;F16
20210914;18;0;44;410.00;9.00;401.00;135.00;128.00;130.00;8.00;1.00;F17
20210919;18;0;40;190.00;4.00;186.00;41.00;80.00;62.00;3.00;2.00;F18
20210920;18;0;45;60.00;1.00;59.00;10.00;31.00;17.00;1.00;1.00;F19
20210923;18;0;40;282.00;6.00;276.00;106.00;113.00;53.00;4.00;3.00;F20
20210921;18;0;36;162.00;0.00;162.00;53.00;52.00;54.00;3.00;2.00;F21
20210922;18;0;43;255.00;6.00;249.00;93.00;77.00;75.00;4.00;3.00;F3
20210924;18;0;43;279.00;12.00;81.00;14.00;36.00;29.00;2.00;3.00;F252
20210922;18;0;44;150.00;6.00;144.00;5.00;86.00;50.00;3.00;3.00;F22
20210925;18;0;40;300.00;0.00;300.00;74.00;120.00;101.00;5.00;3.00;F23
20210923;18;0;42;178.00;0.00;178.00;67.00;53.00;55.00;3.00;2.00;F2
20210930;18;0;38;285.00;0.00;96.00;31.00;33.00;31.00;1.00;3.00;F256
20211002;18;0;45;2124.00;22.00;2103.00;768.00;736.00;578.00;21.00;3.00;F2
20210929;18;0;41;53.00;2.00;51.00;9.00;29.00;12.00;1.00;1.00;F3
20211003;18;0;40;1334.00;41.00;1294.00;181.00;634.00;464.00;15.00;2.00;F4
20211002;18;0;43;207.00;3.00;204.00;60.00;90.00;51.00;3.00;3.00;F5
20211001;18;0;39;180.00;4.00;177.00;54.00;89.00;32.00;2.00;3.00;F6
20211003;18;0;39;255.00;11.00;243.00;101.00;104.00;35.00;3.00;3.00;F7
20211005;18;0;39;213.00;3.00;210.00;72.00;69.00;65.00;4.00;3.00;F8
20211002;18;0;36;932.00;0.00;932.00;308.00;466.00;145.00;13.00;2.00;F9
20211009;18;0;45;136.00;0.00;136.00;45.00;63.00;26.00;2.00;2.00;F10
20211009;18;0;41;78.00;4.00;74.00;11.00;38.00;24.00;1.00;1.00;F11
20211010;18;0;37;342.00;0.00;342.00;161.00;113.00;61.00;7.00;3.00;F2
20211012;18;0;39;545.00;0.00;545.00;240.00;169.00;130.00;6.00;1.00;F268
20211008;18;0;39;124.00;2.00;122.00;35.00;44.00;41.00;2.00;2.00;F12
20211010;18;0;43;192.00;0.00;192.00;90.00;65.00;35.00;2.00;2.00;F13
20211014;18;0;36;663.00;7.00;656.00;151.00;276.00;220.00;9.00;1.00;F14
20211013;18;0;44;1332.00;14.00;1318.00;298.00;778.00;221.00;21.00;2.00;F15
20211016;18;0;39;309.00;13.00;297.00;134.00;107.00;53.00;3.00;3.00;F16
20211017;18;0;41;226.00;3.00;224.00;63.00;125.00;32.00;4.00;2.00;F17
20211017;18;0;38;279.00;9.00;270.00;124.00;84.00;58.00;4.00;3.00;F18
20211019;18;0;40;118.00;6.00;112.00;41.00;37.00;32.00;2.00;1.00;F19
20211021;18;0;39;70.00;2.00;68.00;28.00;24.00;15.00;1.00;1.00;F20
20211019;18;0;40;170.00;0.00;170.00;54.00;87.00;26.00;3.00;2.00;F21
20211019;18;0;37;644.00;13.00;631.00;156.00;265.00;204.00;6.00;1.00;F3
20211023;18;0;40;50.00;2.00;48.00;18.00;23.00;6.00;1.00;1.00;F280
20211026;18;0;44;321.00;10.00;312.00;153.00;94.00;60.00;5.00;3.00;F22
20211022;18;0;39;93.00;3.00;90.00;33.00;43.00;13.00;1.00;1.00;F23
20211024;18;0;37;177.00;0.00;177.00;16.00;106.00;53.00;2.00;3.00;F2
20211023;18;0;42;261.00;8.00;78.00;5.00;44.00;27.00;2.00;3.00;F284
20211025;18;0;44;94.00;0.00;94.00;50.00;32.00;11.00;1.00;1.00;F2
20211027;18;0;44;1968.00;20.00;1947.00;531.00;935.00;443.00;38.00;3.00;F3
20211025;18;0;40;288.00;0.00;288.00;124.00;101.00;58.00;5.00;3.00;F4
20211029;18;0;36;1356.00;41.00;1316.00;176.00;645.00;472.00;23.00;2.00;F5
20211101;18;0;42;134.00;0.00;134.00;34.00;72.00;26.00;2.00;2.00;F6
20211029;18;0;38;249.00;3.00;246.00;110.00;101.00;32.00;3.00;3.00;F7
20211030;18;0;41;636.00;0.00;636.00;165.00;369.00;91.00;11.00;1.00;F8
20211105;18;0;41;105.00;3.00;102.00;15.00;52.00;34.00;1.00;1.00;F9
20211102;18;0;39;1214.00;61.00;1154.00;232.00;508.00;400.00;14.00;2.00;F10
20211102;18;0;41;78.00;2.00;76.00;9.00;46.00;19.00;2.00;1.00;F11
20211103;18;0;37;1320.00;27.00;1294.00;402.00;699.00;170.00;23.00;2.00;F2
20211108;18;0;38;93.00;3.00;90.00;18.00;49.00;22.00;1.00;1.00;F296
20211106;18;0;42;360.00;4.00;357.00;64.00;196.00;90.00;7.00;3.00;F12
20211107;18;0;43;736.00;30.00;706.00;116.00;360.00;219.00;11.00;1.00;F13
20211109;18;0;38;95.00;3.00;92.00;41.00;29.00;21.00;1.00;1.00;F14
20211107;18;0;43;126.00;3.00;124.00;44.00;60.00;19.00;1.00;2.00;F15
20211109;18;0;45;1974.00;0.00;1974.00;748.00;790.00;401.00;35.00;3.00;F16
20211112;18;0;44;336.00;4.00;333.00;80.00;167.00;80.00;6.00;3.00;F17
20211112;18;0;39;171.00;0.00;171.00;62.00;72.00;35.00;2.00;3.00;F18
